,Attraction,Link,Offers,Price,Title
0,Breakfast included,https://www.tripadvisor.com/Hotel_Review-g56463-d14076609-Reviews-Holiday_Inn_Express_Suites_Plano_East-Plano_Texas.html,Free Wifi & Free parking,$89,SponsoredHoliday Inn Express & Suites Plano East
1,Best Seller & Breakfast included,https://www.tripadvisor.com/Hotel_Review-g56463-d73268-Reviews-Magnuson_Hotel_Park_Suites-Plano_Texas.html,,$61,Magnuson Hotel Park Suites
2,Top Rated & Breakfast included,https://www.tripadvisor.com/Hotel_Review-g56463-d14211943-Reviews-Hampton_Inn_Suites_Dallas_Plano_Central-Plano_Texas.html,,$112,Hampton Inn & Suites Dallas/Plano Central
3,,https://www.tripadvisor.com/Hotel_Review-g56463-d15087565-Reviews-Sandman_Signature_Plano_Frisco_Hotel-Plano_Texas.html,,$129,Sandman Signature Plano - Frisco Hotel
4,Breakfast included,https://www.tripadvisor.com/Hotel_Review-g56463-d10223193-Reviews-La_Quinta_Inn_Suites_by_Wyndham_Plano_Legacy_Frisco-Plano_Texas.html,,$94,La Quinta Inn & Suites by Wyndham Plano Legacy Frisco
5,,https://www.tripadvisor.com/Hotel_Review-g56463-d106481-Reviews-Hyatt_Place_Dallas_Plano-Plano_Texas.html,,$99,Hyatt Place Dallas/Plano
6,Breakfast included,https://www.tripadvisor.com/Hotel_Review-g56463-d1157198-Reviews-Comfort_Suites_Plano-Plano_Texas.html,Free Wifi & Free parking,$84,SponsoredComfort Suites Plano
7,Breakfast included,https://www.tripadvisor.com/Hotel_Review-g56463-d15005350-Reviews-Home2_Suites_by_Hilton_Plano_Legacy_West-Plano_Texas.html,,$134,Home2 Suites by Hilton Plano Legacy West
8,,https://www.tripadvisor.com/Hotel_Review-g56463-d817538-Reviews-NYLO_Dallas_Plano_Hotel_Tapestry_Collection_by_Hilton-Plano_Texas.html,,$87,"NYLO Dallas Plano Hotel, Tapestry Collection by Hilton"
9,Breakfast included,https://www.tripadvisor.com/Hotel_Review-g56463-d7315223-Reviews-Hampton_Inn_Suites_Dallas_Plano_East-Plano_Texas.html,,$103,Hampton Inn & Suites Dallas / Plano-East
10,,https://www.tripadvisor.com/Hotel_Review-g56463-d6468516-Reviews-Hilton_Dallas_Plano_Granite_Park-Plano_Texas.html,,$195,Hilton Dallas Plano Granite Park
11,,https://www.tripadvisor.com/Hotel_Review-g56463-d12263357-Reviews-Renaissance_Dallas_at_Plano_Legacy_West_Hotel-Plano_Texas.html,,$206,Renaissance Dallas at Plano Legacy West Hotel
12,Breakfast included,https://www.tripadvisor.com/Hotel_Review-g56463-d14076609-Reviews-Holiday_Inn_Express_Suites_Plano_East-Plano_Texas.html,Free Wifi & Free parking,$89,Holiday Inn Express & Suites Plano East
13,Breakfast included,https://www.tripadvisor.com/Hotel_Review-g56463-d13313933-Reviews-Home2_Suites_by_Hilton_Plano_Richardson-Plano_Texas.html,,$118,Home2 Suites by Hilton Plano Richardson
14,Breakfast included,https://www.tripadvisor.com/Hotel_Review-g56463-d106479-Reviews-La_Quinta_Inn_Suites_by_Wyndham_Dallas_Plano_West-Plano_Texas.html,,$99,La Quinta Inn & Suites by Wyndham Dallas Plano West
15,,https://www.tripadvisor.com/Hotel_Review-g56463-d106478-Reviews-Red_Roof_Inn_Plano-Plano_Texas.html,Free Wifi & Free parking,$49,Red Roof Inn Plano
16,Breakfast included,https://www.tripadvisor.com/Hotel_Review-g56463-d10802981-Reviews-Residence_Inn_Dallas_Plano_Richardson-Plano_Texas.html,Free parking & Pool,$116,Residence Inn Dallas Plano/Richardson
17,Breakfast included,https://www.tripadvisor.com/Hotel_Review-g56463-d106524-Reviews-Baymont_by_Wyndham_Plano-Plano_Texas.html,,$47,Baymont by Wyndham Plano
18,Breakfast included,https://www.tripadvisor.com/Hotel_Review-g56463-d277946-Reviews-Homewood_Suites_by_Hilton_Plano_Richardson-Plano_Texas.html,,$150,Homewood Suites by Hilton Plano-Richardson
19,Breakfast included,https://www.tripadvisor.com/Hotel_Review-g56463-d106502-Reviews-Days_Inn_by_Wyndham_Dallas_Plano-Plano_Texas.html,Free parking & Pool,$47,Days Inn by Wyndham Dallas Plano
20,Breakfast included,https://www.tripadvisor.com/Hotel_Review-g56463-d109697-Reviews-Quality_Inn_Suites_Plano_East_Richardson-Plano_Texas.html,Free Wifi & Free parking,$63,Quality Inn & Suites Plano East - Richardson
21,,https://www.tripadvisor.com/Hotel_Review-g56463-d5951655-Reviews-Cambria_Hotel_Plano_Frisco-Plano_Texas.html,Free Wifi & Free parking,$123,Cambria Hotel Plano - Frisco
22,Breakfast included,https://www.tripadvisor.com/Hotel_Review-g56463-d99351-Reviews-Comfort_Inn_Suites_Plano_East-Plano_Texas.html,Free Wifi & Free parking,$54,Comfort Inn & Suites Plano East
23,Breakfast included,https://www.tripadvisor.com/Hotel_Review-g56463-d106505-Reviews-Extended_Stay_America_Dallas_Plano_Parkway-Plano_Texas.html,Free Wifi & Free parking,$66,Extended Stay America - Dallas - Plano Parkway
